Date,Visitor,G,Home,G,,Att.,LOG,Notes
10/10/2023,Chicago Blackhawks,4,Pittsburgh Penguins,2,,18411,2:34,
10/10/2023,Nashville Predators,3,Tampa Bay Lightning,5,,19092,2:33,
10/10/2023,Seattle Kraken,1,Vegas Golden Knights,4,,18724,2:22,
10/11/2023,Chicago Blackhawks,1,Boston Bruins,3,,17850,2:29,
10/11/2023,Ottawa Senators,3,Carolina Hurricanes,5,,18893,2:33,
10/11/2023,Winnipeg Jets,3,Calgary Flames,5,,17414,2:32,
10/11/2023,Colorado Avalanche,5,Los Angeles Kings,2,,18145,2:37,
10/11/2023,Montreal Canadiens,5,Toronto Maple Leafs,6,SO,18948,2:46,
10/11/2023,Edmonton Oilers,1,Vancouver Canucks,8,,18706,2:33,
10/12/2023,New York Rangers,5,Buffalo Sabres,1,,19070,2:26,
10/12/2023,Philadelphia Flyers,4,Columbus Blue Jackets,2,,18614,2:26,
10/12/2023,St. Louis Blues,1,Dallas Stars,2,SO,18532,2:40,
10/12/2023,Florida Panthers,0,Minnesota Wild,2,,18976,2:37,
10/12/2023,Detroit Red Wings,3,New Jersey Devils,4,,16514,2:29,
10/12/2023,Seattle Kraken,0,Nashville Predators,3,,17629,2:21,
10/12/2023,Vegas Golden Knights,4,San Jose Sharks,1,,17435,2:28,
10/13/2023,Arizona Coyotes,4,New Jersey Devils,3,SO,16514,2:43,
10/13/2023,Pittsburgh Penguins,4,Washington Capitals,0,,18573,2:34,
10/14/2023,Nashville Predators,2,Boston Bruins,3,,17850,2:33,
10/14/2023,New York Rangers,3,Columbus Blue Jackets,5,,16520,2:34,
10/14/2023,Tampa Bay Lightning,4,Detroit Red Wings,6,,19515,2:28,
10/14/2023,Vancouver Canucks,4,Edmonton Oilers,3,,18347,2:30,
10/14/2023,Carolina Hurricanes,6,Los Angeles Kings,5,SO,17517,2:57,
10/14/2023,Chicago Blackhawks,2,Montreal Canadiens,3,,21105,2:26,
10/14/2023,Buffalo Sabres,2,New York Islanders,3,,17255,2:29,
10/14/2023,Philadelphia Flyers,2,Ottawa Senators,5,,20011,2:30,
10/14/2023,Calgary Flames,2,Pittsburgh Penguins,5,,17635,2:30,
10/14/2023,Colorado Avalanche,2,San Jose Sharks,1,SO,17435,2:46,
10/14/2023,Seattle Kraken,1,St. Louis Blues,2,SO,18096,2:33,
10/14/2023,Minnesota Wild,4,Toronto Maple Leafs,7,,18903,2:36,
10/14/2023,Anaheim Ducks,1,Vegas Golden Knights,4,,18033,2:35,
10/14/2023,Florida Panthers,4,Winnipeg Jets,6,,13410,2:32,
10/15/2023,Carolina Hurricanes,3,Anaheim Ducks,6,,17278,2:32,
10/15/2023,Tampa Bay Lightning,2,Ottawa Senators,5,,15584,2:27,
10/16/2023,Detroit Red Wings,4,Columbus Blue Jackets,0,,14959,2:25,
10/16/2023,Florida Panthers,4,New Jersey Devils,3,,15023,2:30,
10/16/2023,Arizona Coyotes,1,New York Rangers,2,,18006,2:29,
10/16/2023,Chicago Blackhawks,4,Toronto Maple Leafs,1,,19101,2:37,
10/16/2023,Calgary Flames,2,Washington Capitals,3,SO,16489,2:43,
10/17/2023,Tampa Bay Lightning,2,Buffalo Sabres,3,OT,12598,2:27,
10/17/2023,Minnesota Wild,5,Montreal Canadiens,2,,21105,2:36,
10/17/2023,Edmonton Oilers,6,Nashville Predators,1,,17216,2:27,
10/17/2023,Arizona Coyotes,0,New York Islanders,1,,14456,2:22,
10/17/2023,Vancouver Canucks,0,Philadelphia Flyers,2,,18883,2:28,
10/17/2023,Colorado Avalanche,4,Seattle Kraken,1,,17151,2:35,
10/17/2023,Carolina Hurricanes,6,San Jose Sharks,3,,10378,2:33,
10/17/2023,Dallas Stars,2,Vegas Golden Knights,3,SO,17612,2:47,
10/17/2023,Los Angeles Kings,5,Winnipeg Jets,1,,11226,2:24,
10/18/2023,Pittsburgh Penguins,3,Detroit Red Wings,6,,18895,2:31,
10/18/2023,Washington Capitals,1,Ottawa Senators,6,,15021,2:31,
10/19/2023,Dallas Stars,3,Anaheim Ducks,2,,14274,2:23,
10/19/2023,Calgary Flames,4,Buffalo Sabres,3,,13025,2:34,
10/19/2023,Chicago Blackhawks,0,Colorado Avalanche,4,,18140,2:24,
10/19/2023,Toronto Maple Leafs,1,Florida Panthers,3,,19288,2:30,
10/19/2023,Los Angeles Kings,7,Minnesota Wild,3,,18689,2:35,
10/19/2023,Nashville Predators,4,New York Rangers,1,,18006,2:24,
10/19/2023,Edmonton Oilers,1,Philadelphia Flyers,4,,17590,2:29,
10/19/2023,Carolina Hurricanes,4,Seattle Kraken,7,,17151,2:36,
10/19/2023,Boston Bruins,3,San Jose Sharks,1,,12501,2:30,
10/19/2023,Arizona Coyotes,6,St. Louis Blues,2,,18096,2:35,
10/19/2023,Vancouver Canucks,3,Tampa Bay Lightning,4,,19092,2:32,
10/19/2023,Vegas Golden Knights,5,Winnipeg Jets,3,,11521,2:18,
10/20/2023,Calgary Flames,1,Columbus Blue Jackets,3,,16276,2:25,
10/20/2023,New Jersey Devils,5,New York Islanders,4,OT,17255,2:33,
10/21/2023,Anaheim Ducks,1,Arizona Coyotes,2,,4600,2:30,
10/21/2023,New York Islanders,1,Buffalo Sabres,3,,16179,2:27,
10/21/2023,Vegas Golden Knights,5,Chicago Blackhawks,3,,19867,2:27,
10/21/2023,Carolina Hurricanes,4,Colorado Avalanche,6,,18131,2:32,
10/21/2023,Philadelphia Flyers,4,Dallas Stars,5,OT,18532,2:34,
10/21/2023,Winnipeg Jets,3,Edmonton Oilers,2,OT,18347,2:40,
10/21/2023,Vancouver Canucks,5,Florida Panthers,3,,16991,2:24,
10/21/2023,Boston Bruins,4,Los Angeles Kings,2,,18145,2:44,
10/21/2023,Columbus Blue Jackets,5,Minnesota Wild,4,OT,18479,2:39,
10/21/2023,Washington Capitals,2,Montreal Canadiens,3,OT,21105,2:31,
10/21/2023,San Jose Sharks,1,Nashville Predators,5,,17222,2:28,
10/21/2023,Detroit Red Wings,5,Ottawa Senators,2,,18834,2:31,
10/21/2023,New York Rangers,4,Seattle Kraken,1,,17151,2:38,
10/21/2023,Pittsburgh Penguins,2,St. Louis Blues,4,,18096,2:21,
10/21/2023,Toronto Maple Leafs,4,Tampa Bay Lightning,3,OT,19092,2:35,
10/22/2023,Boston Bruins,3,Anaheim Ducks,1,,14264,2:26,
10/22/2023,Calgary Flames,2,Detroit Red Wings,6,,17626,2:26,
10/23/2023,Montreal Canadiens,3,Buffalo Sabres,1,,13507,2:22,
10/24/2023,Anaheim Ducks,3,Columbus Blue Jackets,2,OT,16432,2:28,
10/24/2023,New York Rangers,3,Calgary Flames,1,,16800,2:25,
10/24/2023,Boston Bruins,3,Chicago Blackhawks,0,,19370,2:36,
10/24/2023,Seattle Kraken,5,Detroit Red Wings,4,OT,16894,2:40,
10/24/2023,San Jose Sharks,1,Florida Panthers,3,,16142,2:24,
10/24/2023,Arizona Coyotes,3,Los Angeles Kings,6,,17668,2:42,
10/24/2023,Edmonton Oilers,4,Minnesota Wild,7,,17064,2:30,
10/24/2023,New Jersey Devils,5,Montreal Canadiens,2,,21105,2:32,
10/24/2023,Vancouver Canucks,3,Nashville Predators,2,,17159,2:17,
10/24/2023,Colorado Avalanche,7,New York Islanders,4,,14856,2:31,
10/24/2023,Buffalo Sabres,6,Ottawa Senators,4,,14278,2:38,
10/24/2023,Dallas Stars,4,Pittsburgh Penguins,1,,17209,2:29,
10/24/2023,Carolina Hurricanes,0,Tampa Bay Lightning,3,,19092,2:27,
10/24/2023,Philadelphia Flyers,2,Vegas Golden Knights,3,,17717,2:31,
10/24/2023,St. Louis Blues,2,Winnipeg Jets,4,,11136,2:21,
10/24/2023,Toronto Maple Leafs,4,Washington Capitals,1,,16641,2:20,
10/25/2023,Washington Capitals,6,New Jersey Devils,4,,16117,2:23,
10/26/2023,Anaheim Ducks,4,Boston Bruins,3,OT,17850,2:44,
10/26/2023,Seattle Kraken,2,Carolina Hurricanes,3,OT,18780,2:38,
10/26/2023,St. Louis Blues,3,Calgary Flames,0,,16897,2:26,
10/26/2023,Toronto Maple Leafs,4,Dallas Stars,1,,18532,2:21,
10/26/2023,Winnipeg Jets,4,Detroit Red Wings,1,,17857,2:25,
10/26/2023,New York Rangers,3,Edmonton Oilers,0,,17939,2:26,
10/26/2023,Columbus Blue Jackets,3,Montreal Canadiens,4,OT,21105,2:35,
10/26/2023,Ottawa Senators,2,New York Islanders,3,,14911,2:37,
10/26/2023,Minnesota Wild,2,Philadelphia Flyers,6,,17144,2:30,
10/26/2023,Colorado Avalanche,0,Pittsburgh Penguins,4,,17154,2:26,
10/26/2023,San Jose Sharks,0,Tampa Bay Lightning,6,,19092,2:23,
10/27/2023,Los Angeles Kings,5,Arizona Coyotes,4,,4600,2:37,
10/27/2023,San Jose Sharks,0,Carolina Hurricanes,3,,18700,2:37,
10/27/2023,Buffalo Sabres,4,New Jersey Devils,5,,16514,2:30,
10/27/2023,St. Louis Blues,0,Vancouver Canucks,5,,18548,2:23,
10/27/2023,Chicago Blackhawks,4,Vegas Golden Knights,3,OT,18338,2:27,
10/27/2023,Minnesota Wild,2,Washington Capitals,3,SO,16602,2:45,
10/28/2023,Detroit Red Wings,1,Boston Bruins,4,,17850,2:25,
10/28/2023,New York Islanders,2,Columbus Blue Jackets,0,,15424,2:13,
10/28/2023,Seattle Kraken,2,Florida Panthers,3,,16780,2:33,
10/28/2023,Vegas Golden Knights,4,Los Angeles Kings,3,SO,18145,2:38,
10/28/2023,Winnipeg Jets,3,Montreal Canadiens,4,SO,21105,2:41,
10/28/2023,Toronto Maple Leafs,2,Nashville Predators,3,OT,17537,2:31,
10/28/2023,Anaheim Ducks,7,Philadelphia Flyers,4,,18275,2:33,
10/28/2023,Ottawa Senators,5,Pittsburgh Penguins,2,,17631,2:29,
10/28/2023,New York Rangers,4,Vancouver Canucks,3,OT,18483,2:31,
10/29/2023,Colorado Avalanche,0,Buffalo Sabres,4,,15717,2:25,
10/29/2023,Calgary Flames,2,Edmonton Oilers,5,,55411,2:37,at Commonwealth Stadium (Edmonton AB)
10/29/2023,Minnesota Wild,3,New Jersey Devils,4,,16514,2:25,
10/29/2023,San Jose Sharks,1,Washington Capitals,3,,15856,2:26,
10/30/2023,Chicago Blackhawks,1,Arizona Coyotes,8,,4600,2:31,
10/30/2023,Florida Panthers,2,Boston Bruins,3,OT,17850,2:36,
10/30/2023,Columbus Blue Jackets,3,Dallas Stars,5,,18532,2:22,
10/30/2023,Detroit Red Wings,4,New York Islanders,3,OT,15407,2:35,
10/30/2023,Carolina Hurricanes,3,Philadelphia Flyers,2,,15569,2:27,
10/30/2023,Anaheim Ducks,4,Pittsburgh Penguins,3,,16903,2:34,
10/30/2023,Seattle Kraken,4,Tampa Bay Lightning,3,OT,19092,2:30,
10/30/2023,Montreal Canadiens,2,Vegas Golden Knights,3,SO,17791,2:43,
10/30/2023,New York Rangers,3,Winnipeg Jets,2,OT,11898,2:29,
10/31/2023,Los Angeles Kings,4,Toronto Maple Leafs,1,,18531,2:20,
10/31/2023,Nashville Predators,2,Vancouver Canucks,5,,18413,2:23,
11/1/2023,Arizona Coyotes,3,Anaheim Ducks,4,OT,14894,2:37,
11/1/2023,Dallas Stars,4,Calgary Flames,3,,16786,2:32,
11/1/2023,St. Louis Blues,1,Colorado Avalanche,4,,18091,2:31,
11/1/2023,Buffalo Sabres,5,Philadelphia Flyers,2,,17279,2:30,
11/2/2023,Montreal Canadiens,2,Arizona Coyotes,3,,4600,2:33,
11/2/2023,Toronto Maple Leafs,2,Boston Bruins,3,SO,17850,2:36,
11/2/2023,Tampa Bay Lightning,2,Columbus Blue Jackets,4,,14276,2:32,
11/2/2023,Florida Panthers,2,Detroit Red Wings,0,,17233,2:27,
11/2/2023,Dallas Stars,4,Edmonton Oilers,3,,17290,2:32,
11/2/2023,New Jersey Devils,5,Minnesota Wild,3,,18399,2:24,
11/2/2023,Carolina Hurricanes,1,New York Rangers,2,,18006,2:31,
11/2/2023,Los Angeles Kings,3,Ottawa Senators,2,,16216,2:24,
11/2/2023,Nashville Predators,2,Seattle Kraken,4,,17151,2:24,
11/2/2023,Vancouver Canucks,10,San Jose Sharks,1,,10719,2:32,
11/2/2023,Winnipeg Jets,2,Vegas Golden Knights,5,,17878,2:27,
11/2/2023,New York Islanders,3,Washington Capitals,0,,16209,2:23,
11/3/2023,Philadelphia Flyers,5,Buffalo Sabres,1,,16612,2:12,
11/3/2023,New Jersey Devils,1,St. Louis Blues,4,,18096,2:24,
11/4/2023,Winnipeg Jets,5,Arizona Coyotes,3,,4600,2:19,
11/4/2023,Florida Panthers,2,Chicago Blackhawks,5,,18666,2:22,
11/4/2023,Boston Bruins,4,Detroit Red Wings,5,,18676,2:40,
11/4/2023,Nashville Predators,5,Edmonton Oilers,2,,18354,2:28,
11/4/2023,New York Rangers,4,Minnesota Wild,5,SO,18678,2:38,
11/4/2023,Carolina Hurricanes,4,New York Islanders,3,OT,17255,2:31,
11/4/2023,Tampa Bay Lightning,6,Ottawa Senators,4,,17387,2:36,
11/4/2023,Los Angeles Kings,5,Philadelphia Flyers,0,,18304,2:24,
11/4/2023,Calgary Flames,6,Seattle Kraken,3,,17151,2:19,
11/4/2023,Pittsburgh Penguins,10,San Jose Sharks,2,,17435,2:28,
11/4/2023,Montreal Canadiens,3,St. Louis Blues,6,,18096,2:29,
11/4/2023,Buffalo Sabres,6,Toronto Maple Leafs,4,,18902,2:28,
11/4/2023,Dallas Stars,0,Vancouver Canucks,2,,18895,2:25,
11/4/2023,Colorado Avalanche,0,Vegas Golden Knights,7,,18512,2:40,
11/4/2023,Columbus Blue Jackets,1,Washington Capitals,2,,18573,2:30,
11/5/2023,Vegas Golden Knights,2,Anaheim Ducks,4,,15720,2:22,
11/5/2023,New Jersey Devils,4,Chicago Blackhawks,2,,18388,2:31,
11/6/2023,Boston Bruins,3,Dallas Stars,2,,18532,2:37,
11/6/2023,Columbus Blue Jackets,4,Florida Panthers,5,OT,17103,2:27,
11/6/2023,Tampa Bay Lightning,5,Toronto Maple Leafs,6,OT,18445,2:30,
11/6/2023,Edmonton Oilers,2,Vancouver Canucks,6,,18857,2:44,
11/7/2023,Pittsburgh Penguins,2,Anaheim Ducks,0,,16043,2:32,
11/7/2023,Seattle Kraken,3,Arizona Coyotes,4,SO,4600,2:40,
11/7/2023,Buffalo Sabres,2,Carolina Hurricanes,3,OT,18700,2:25,
11/7/2023,Nashville Predators,2,Calgary Flames,4,,16975,2:29,
11/7/2023,New Jersey Devils,3,Colorado Avalanche,6,,18087,2:38,
11/7/2023,Tampa Bay Lightning,5,Montreal Canadiens,3,,21105,2:32,
11/7/2023,Minnesota Wild,4,New York Islanders,2,,13527,2:30,
11/7/2023,Detroit Red Wings,3,New York Rangers,5,,18006,2:25,
11/7/2023,Philadelphia Flyers,1,San Jose Sharks,2,,10074,2:31,
11/7/2023,Winnipeg Jets,5,St. Louis Blues,2,,18096,2:24,
11/8/2023,Ottawa Senators,6,Toronto Maple Leafs,3,,18372,2:20,
